codigo_SGO,Identificacao_OAE,UF,Rodovia_(BR),km,Extensao_(m),Largura_(m),Tipo_Estrutura,Latitude,Longitude,Nota_Atual_SGO_(2021),Visita_SR_(Data_Realizada),Data_Inspecao_Realizada,Visita_na_OAE,Faixa_Extensao_OAE,Corredor,Obs.:,Tipo_Inspecao 
210084,"Viaduto km 1,71 (LD)",SE,235,"1,71","43","17,55",Viga caixão de concreto protendido,-10.90761667,-37.09091667,"2",28/01/2025,12/02/2025,,20<OAE<=60m (A2),1,,InR
210086,"Viaduto km 1,71 (LE)",SE,235,"1,71","43","14,4",Laje de concreto armado,-10.907792,-37.090918,"3",28/01/2025,12/02/2025,,20<OAE<=60m (A2),1,,InR
210012,Viaduto sobre a BR-101,SE,235,"8,34","42","18,2",Viga de concreto protendido,-10.8842188,-37.1330408,"3",28/01/2025,17/02/2025,,20<OAE<=60m (A2),1,,InR
200155,Viaduto Ponte Real do Colégio I (LE),AL,101,"246,6","36","12",Viga de concreto protendido,-10.18171474,-36.82845286,"4",29/11/2025,18/02/2025,,20<OAE<=60m (A2),1,,InR
210050,Viaduto sobre a BR-235,SE,101,"91,77","40,35","24,2",Viga de concreto protendido,-10.90276026,-37.13170693,"4",28/01/2025,18/02/2025,,20<OAE<=60m (A2),1,,InR
200084,Ponte sobre o Rio Boacica (LE),AL,101,"217,1","75","13,5",Viga de concreto protendido,-10.0382573,-36.643156,"4",29/11/2025,19/02/2025,,60>OAE<=120m (A3),1,,InR
210011,Ponte  Sobre o Rio Madre de Deus,SE,235,"17,91","8,3","9,65",Viga de concreto armado,-10.8466958,-37.20870607,"3",28/01/2025,19/02/2025,,OAE<=20m (A1),1,,InR
210013,Pontilhão sobre o Rio Madre,SE,235,"18,24","5,2","9,6",Laje de concreto armado,-10.84427557,-37.21043074,"2",28/01/2025,19/02/2025,,OAE<=20m (A1),1,,InR
210014,"Pontilhão sobre o Riacho Buti Br-235/SE km 18,96",SE,235,"18,96","5,2","9",Laje de concreto armado,-10.84087225,-37.21547101,"2",28/01/2025,19/02/2025,,OAE<=20m (A1),1,,InR
200146,Viaduto Junqueiro I (LD),AL,101,"183,19","13,3","11,95",Laje de concreto armado,-9.8972788,-36.41655275,"4",29/11/2025,20/02/2025,,OAE<=20m (A1),1,,InR
