NOME;LONGITUDE;LATITUDE;MAIS_SECO
SALINËPOLIS;-47,353889;-0,623056;SETEMBRO-OUTUBRO-NOVEMBRO
CURUCA;-47,853333;-0,7375;SETEMBRO-OUTUBRO-NOVEMBRO
PRIMAVERA;-47,099722;-0,929722;SETEMBRO-OUTUBRO-NOVEMBRO
VIGIA;-48,110556;-0,868056;SETEMBRO-OUTUBRO-NOVEMBRO
NAVIO;-50,924722;-0,399167;SETEMBRO-OUTUBRO-NOVEMBRO
SAO FRANCISCO;-52,569167;-0,567778;SETEMBRO-OUTUBRO-NOVEMBRO
C-NDIDO MENDES;-45,726389;-1,455833;SETEMBRO-OUTUBRO-NOVEMBRO
TRACUATEUA;-46,895;-1,071944;SETEMBRO-OUTUBRO-NOVEMBRO
TARARUA - PONTE;-46,598333;-1,7325;SETEMBRO-OUTUBRO-NOVEMBRO
ALTO BONITO (FAZ. BELA AURORA);-46,343889;-1,816389;SETEMBRO-OUTUBRO-NOVEMBRO
VISEU;-46,1875;-1,231111;SETEMBRO-OUTUBRO-NOVEMBRO
EMBORAI;-46,583611;-1,291667;SETEMBRO-OUTUBRO-NOVEMBRO
CAPANEMA;-47,178611;-1,202778;SETEMBRO-OUTUBRO-NOVEMBRO
CASTANHAL;-47,939444;-1,298056;SETEMBRO-OUTUBRO-NOVEMBRO
S+O DOMINGOS DO CAPIM;-47,770278;-1,676944;SETEMBRO-OUTUBRO-NOVEMBRO
IGARAP+-AÃU;-47,627778;-1,1325;SETEMBRO-OUTUBRO-NOVEMBRO
COLÈNIA SANTO ANTÈNIO;-47,491667;-1,655278;SETEMBRO-OUTUBRO-NOVEMBRO
BEL+M;-48,437778;-1,435;SETEMBRO-OUTUBRO-NOVEMBRO
SANTA ISABEL DO PAR-;-48,170833;-1,296944;SETEMBRO-OUTUBRO-NOVEMBRO
ACARA;-48,2075;-1,958333;SETEMBRO-OUTUBRO-NOVEMBRO
ABAETETUBA;-48,859444;-1,738056;SETEMBRO-OUTUBRO-NOVEMBRO
VILA DO CONDE;-48,764389;-1,568889;SETEMBRO-OUTUBRO-NOVEMBRO
MOSQUEIRO;-48,386944;-1,095556;SETEMBRO-OUTUBRO-NOVEMBRO
OEIRAS DO PARA;-49,863056;-2,001667;SETEMBRO-OUTUBRO-NOVEMBRO
ANTÈNIO LEMOS;-50,808889;-1,360833;JULHO-AGOSTO-SETEMBRO
JARILANDIA;-51,996111;-1,122778;SETEMBRO-OUTUBRO-NOVEMBRO
ACAMPAMENTO IBDF;-51,433611;-1,791667;AGOSTO-SETEMBRO-OUTUBRO
AREIAS;-51,260556;-1,213333;SETEMBRO-OUTUBRO-NOVEMBRO
ALMEIRIM;-52,580833;-1,528056;SETEMBRO-OUTUBRO-NOVEMBRO
FAZENDA BELA VISTA;-53,152778;-1,074444;SETEMBRO-OUTUBRO-NOVEMBRO
PRAINHA;-53,480833;-1,803611;SETEMBRO-OUTUBRO-NOVEMBRO
ARAPARI;-54,381111;-1,776111;AGOSTO-SETEMBRO-OUTUBRO
BOCA DO INFERNO;-54,872222;-1,503056;JUNHO-JULHO-AGOSTO
GUIMAR+ES;-44,609167;-2,138333;SETEMBRO-OUTUBRO-NOVEMBRO
ALTO TURI;-45,664722;-2,950833;SETEMBRO-OUTUBRO-NOVEMBRO
MARACACUME;-45,956944;-2,0525;SETEMBRO-OUTUBRO-NOVEMBRO
BR-316 / RIO PARUA;-45,785;-2,503333;SETEMBRO-OUTUBRO-NOVEMBRO
PIMENTA;-45,370833;-2,5825;SETEMBRO-OUTUBRO-NOVEMBRO
